learning_rate,activation,dropout,optimizer,test_loss,test_accuracy,val_loss,val_accuracy
0.1,sigmoid,0.2,nesterov,0.6934283375740051,0.4983333349227905,0.6938275694847107,0.4888888895511627
0.1,relu,0.0,adam,0.4459384083747864,0.7411110997200012,0.44483497738838196,0.7405555844306946
0.1,relu,0.0,rmsprop,0.17085713148117065,0.9449999928474426,0.15480948984622955,0.9583333134651184
0.1,relu,0.0,nesterov,0.07501178234815598,0.9694444537162781,0.06763742864131927,0.9711111187934875
0.1,relu,0.1,adam,0.6933033466339111,0.4983333349227905,0.6935803890228271,0.4888888895511627
0.1,relu,0.1,rmsprop,0.1170671135187149,0.9594444632530212,0.11327486485242844,0.9638888835906982
0.1,relu,0.1,nesterov,0.052195023745298386,0.9794444441795349,0.04043787345290184,0.9827777743339539
0.1,relu,0.2,adam,0.5564321279525757,0.6244444251060486,0.5740967392921448,0.6094444394111633
0.1,relu,0.2,rmsprop,0.5337885618209839,0.6194444298744202,0.5364289879798889,0.6311110854148865
0.1,relu,0.2,nesterov,0.08068649470806122,0.9616666436195374,0.07305712252855301,0.9633333086967468
0.1,elu,0.0,adam,0.693753182888031,0.4983333349227905,0.6943507790565491,0.4888888895511627
0.1,elu,0.0,rmsprop,0.2710960805416107,0.879444420337677,0.27175068855285645,0.8861111402511597
0.1,elu,0.0,nesterov,0.08171050250530243,0.9688888788223267,0.09405248612165451,0.9611111283302307
0.1,elu,0.1,adam,0.6932342648506165,0.4983333349227905,0.6934279799461365,0.4888888895511627
0.1,elu,0.1,rmsprop,0.3455084562301636,0.8172222375869751,0.3472614884376526,0.8083333373069763
0.1,elu,0.1,nesterov,0.052575331181287766,0.9777777791023254,0.05307730659842491,0.9811111092567444
0.1,elu,0.2,adam,0.6951938271522522,0.4983333349227905,0.6963410973548889,0.4888888895511627
0.1,elu,0.2,rmsprop,0.7795035243034363,0.5844444632530212,0.7894728779792786,0.5794444680213928
0.1,elu,0.2,nesterov,0.07255049794912338,0.971666693687439,0.04646354541182518,0.9788888692855835
0.5,sigmoid,0.0,adam,0.7000488042831421,0.5016666650772095,0.6977628469467163,0.5111111402511597
0.5,sigmoid,0.0,rmsprop,0.7699045538902283,0.5016666650772095,0.762342095375061,0.5111111402511597
0.5,sigmoid,0.0,nesterov,0.13352258503437042,0.9494444727897644,0.12517274916172028,0.948888897895813
0.5,sigmoid,0.1,adam,0.6962529420852661,0.5016666650772095,0.6946989893913269,0.5111111402511597
0.5,sigmoid,0.1,rmsprop,0.7193747758865356,0.5016666650772095,0.714965283870697,0.5111111402511597
0.5,sigmoid,0.1,nesterov,0.14858219027519226,0.9316666722297668,0.1571887880563736,0.9277777671813965
0.5,sigmoid,0.2,adam,0.6933813691139221,0.4983333349227905,0.6937320232391357,0.4888888895511627
0.5,sigmoid,0.2,rmsprop,0.7193490862846375,0.5016666650772095,0.7149413228034973,0.5111111402511597
0.5,sigmoid,0.2,nesterov,0.3232946991920471,0.8700000047683716,0.2886051535606384,0.8905555605888367
0.5,relu,0.0,adam,0.6933813691139221,0.4983333349227905,0.6937320232391357,0.4888888895511627
0.5,relu,0.0,rmsprop,0.7193718552589417,0.5016666650772095,0.7149624824523926,0.5111111402511597
0.5,relu,0.0,nesterov,0.693306028842926,0.4983333349227905,0.6935857534408569,0.4888888895511627
0.5,relu,0.1,adam,0.6933813691139221,0.4983333349227905,0.6937320232391357,0.4888888895511627
0.5,relu,0.1,rmsprop,0.7193718552589417,0.5016666650772095,0.7149624824523926,0.5111111402511597
0.5,relu,0.1,nesterov,0.6089628338813782,0.6805555820465088,0.6140144467353821,0.6772222518920898
0.5,relu,0.2,adam,0.6933813691139221,0.4983333349227905,0.6937320232391357,0.4888888895511627
0.5,relu,0.2,rmsprop,0.7193718552589417,0.5016666650772095,0.7149625420570374,0.5111111402511597
0.5,relu,0.2,nesterov,0.6905760765075684,0.5305555462837219,0.6933382153511047,0.5205555558204651
0.5,elu,0.0,adam,0.6933883428573608,0.5016666650772095,0.6917022466659546,0.5127778053283691
0.5,elu,0.0,rmsprop,2.773472309112549,0.4983333349227905,2.825610637664795,0.4888888895511627
0.5,elu,0.0,nesterov,,0.5016666650772095,,0.5111111402511597
0.5,elu,0.1,adam,0.6938355565071106,0.4983333349227905,0.694476306438446,0.4888888895511627
0.5,elu,0.1,rmsprop,2.800328493118286,0.4983333349227905,2.8529765605926514,0.4888888895511627
0.5,elu,0.1,nesterov,2.111063241958618,0.5016666650772095,2.0713343620300293,0.5111111402511597
