# Experiment: L2 Regularization Parameter Sweep
# Batch Size: 200
# Epochs: 150
# -------------------------------------------

# Results with lambda equal to 1e-05

accuracy,loss,val_accuracy,val_loss
0.9771249890327454,0.07716850936412811,0.9779999852180481,0.06673572212457657
0.9777500033378601,0.07268046587705612,0.9779999852180481,0.06679899990558624
0.9777500033378601,0.07397309690713882,0.9779999852180481,0.06566329300403595
0.9796249866485596,0.07266519963741302,0.9779999852180481,0.06655673682689667
0.9777500033378601,0.07329060137271881,0.9775000214576721,0.06608787178993225
0.9777500033378601,0.0745796412229538,0.9779999852180481,0.06762191653251648
0.9769999980926514,0.07228074222803116,0.9779999852180481,0.0635531023144722
0.9779999852180481,0.07258078455924988,0.9775000214576721,0.06597931683063507
0.9782500267028809,0.0722464993596077,0.9779999852180481,0.06274925917387009
0.9798750281333923,0.06827240437269211,0.9775000214576721,0.06496842205524445
0.9777500033378601,0.07078952342271805,0.9775000214576721,0.06415615975856781
0.9778749942779541,0.07014153897762299,0.9769999980926514,0.06646164506673813
0.9778749942779541,0.06857599318027496,0.9779999852180481,0.0646548941731453
0.9802500009536743,0.06979722529649734,0.9775000214576721,0.06313387304544449
0.981124997138977,0.06492999196052551,0.9779999852180481,0.06399412453174591
0.9796249866485596,0.06642987579107285,0.9775000214576721,0.062491290271282196
0.9817500114440918,0.06555666029453278,0.9800000190734863,0.06147097051143646
0.9791250228881836,0.06636399775743484,0.9779999852180481,0.06290766596794128
0.9802500009536743,0.06664704531431198,0.9775000214576721,0.06323658674955368
0.9823750257492065,0.06282814592123032,0.9769999980926514,0.06440097838640213
0.9800000190734863,0.0644889622926712,0.9779999852180481,0.06228775531053543
0.9810000061988831,0.06246047094464302,0.9775000214576721,0.06384987384080887
0.9804999828338623,0.06319373846054077,0.9764999747276306,0.06285441666841507
0.9804999828338623,0.06403328478336334,0.9769999980926514,0.06263613700866699
0.981124997138977,0.06469389796257019,0.9779999852180481,0.060319747775793076
0.9819999933242798,0.05754728615283966,0.9769999980926514,0.06277559697628021
0.9822499752044678,0.05854061245918274,0.9760000109672546,0.062351811677217484
0.9816250205039978,0.062412310391664505,0.9775000214576721,0.062432486563920975
0.9819999933242798,0.060542356222867966,0.9760000109672546,0.06469795107841492
0.9831249713897705,0.06035022437572479,0.9769999980926514,0.06153633072972298
0.9822499752044678,0.059384334832429886,0.9779999852180481,0.06218542531132698
0.9827499985694885,0.05948398634791374,0.9779999852180481,0.06091059744358063
0.9823750257492065,0.056608811020851135,0.9775000214576721,0.060892533510923386
0.9827499985694885,0.0577659085392952,0.9769999980926514,0.06423585116863251
0.9821249842643738,0.05969329923391342,0.9769999980926514,0.06361787766218185
0.984250009059906,0.058768924325704575,0.9769999980926514,0.06270967423915863
0.9817500114440918,0.056900378316640854,0.9754999876022339,0.06553011387586594
0.9827499985694885,0.05729025974869728,0.9764999747276306,0.0615856796503067
0.9829999804496765,0.056356608867645264,0.9764999747276306,0.06239385902881622
0.9831249713897705,0.057385317981243134,0.9769999980926514,0.06229028478264809
0.984125018119812,0.054906103760004044,0.9769999980926514,0.06101151555776596
0.9826250076293945,0.05767739936709404,0.9769999980926514,0.06222251430153847
0.9826250076293945,0.05730158090591431,0.9760000109672546,0.06368172913789749
0.984624981880188,0.054844725877046585,0.9775000214576721,0.06308990716934204
0.984749972820282,0.05470920726656914,0.9754999876022339,0.06474702060222626
0.9833750128746033,0.056908104568719864,0.9760000109672546,0.06257282197475433
0.9828749895095825,0.05552731826901436,0.9760000109672546,0.06335362792015076
0.9829999804496765,0.05447850748896599,0.9775000214576721,0.061986472457647324
0.9827499985694885,0.05260390043258667,0.9779999852180481,0.0626445785164833
0.9836249947547913,0.053187593817710876,0.9760000109672546,0.06571480631828308
0.9837499856948853,0.0515226349234581,0.9789999723434448,0.06099885702133179
0.984749972820282,0.053625062108039856,0.9775000214576721,0.06323573738336563
0.984499990940094,0.050470784306526184,0.9789999723434448,0.06157359480857849
0.9832500219345093,0.05534588545560837,0.9760000109672546,0.06693259626626968
0.9837499856948853,0.05190796032547951,0.9775000214576721,0.06350559741258621
0.984125018119812,0.052039213478565216,0.9785000085830688,0.06337541341781616
0.9850000143051147,0.05115320906043053,0.9775000214576721,0.06521278619766235
0.9838749766349792,0.05265369638800621,0.9764999747276306,0.06526537239551544
0.9835000038146973,0.052442923188209534,0.9785000085830688,0.06096375361084938
0.9851250052452087,0.05143468454480171,0.9779999852180481,0.06404073536396027
0.9860000014305115,0.04803479462862015,0.9789999723434448,0.06361190229654312
0.984499990940094,0.05047031491994858,0.9764999747276306,0.066672183573246
0.9836249947547913,0.05214250087738037,0.9794999957084656,0.06479473412036896
0.9854999780654907,0.04833761230111122,0.9785000085830688,0.06365486234426498
0.984125018119812,0.049414657056331635,0.9789999723434448,0.06363647431135178
0.9851250052452087,0.04863680899143219,0.9800000190734863,0.06362169235944748
0.9869999885559082,0.048370376229286194,0.9785000085830688,0.0641011893749237
0.9848750233650208,0.048855971544981,0.9794999957084656,0.06353601068258286
0.984624981880188,0.047817476093769073,0.9779999852180481,0.06502342224121094
0.9851250052452087,0.049153558909893036,0.9794999957084656,0.06529230624437332
0.9854999780654907,0.04884384572505951,0.9789999723434448,0.06366162747144699
0.9853749871253967,0.04817992076277733,0.9800000190734863,0.06234697625041008
0.9854999780654907,0.048367347568273544,0.9779999852180481,0.06789164245128632
0.9848750233650208,0.046846408396959305,0.9804999828338623,0.06188591942191124
0.984375,0.04826810956001282,0.9794999957084656,0.0668490007519722
0.9856250286102295,0.04641071707010269,0.9804999828338623,0.0650060772895813
0.984499990940094,0.04865264892578125,0.9800000190734863,0.06450609862804413
0.9862499833106995,0.044634100049734116,0.9804999828338623,0.06144494563341141
0.9865000247955322,0.04613753408193588,0.9794999957084656,0.06297274678945541
0.9853749871253967,0.0463058203458786,0.9794999957084656,0.06498520076274872
0.9856250286102295,0.04616015776991844,0.9800000190734863,0.062295448035001755
0.9856250286102295,0.045710667967796326,0.9800000190734863,0.06383996456861496
0.984499990940094,0.046781010925769806,0.9804999828338623,0.06099250912666321


# Results with lambda equal to 0.001

accuracy,loss,val_accuracy,val_loss
0.34950000047683716,1.0961679220199585,0.3779999911785126,1.0876471996307373
0.3922500014305115,1.0747519731521606,0.4154999852180481,1.0570241212844849
0.45212501287460327,1.0299267768859863,0.4964999854564667,0.9874308705329895
0.515874981880188,0.9394699931144714,0.5264999866485596,0.870218813419342
0.5857499837875366,0.8197371959686279,0.6200000047683716,0.7352438569068909
0.6933749914169312,0.6927052140235901,0.7770000100135803,0.6113765835762024
0.7747499942779541,0.5867139101028442,0.8370000123977661,0.5110959410667419
0.8263750076293945,0.5014713406562805,0.8730000257492065,0.43273571133613586
